sample_id,subject_id,session_id,media_path,label,label_source,split,recorded_sex
01-01-03-01-02-02-01,actor-01,01-01-03-01-02-02-01,data\ravdess\Actor_01\01-01-03-01-02-02-01.mp4,happy,RAVDESS acted emotion,validation,male
01-01-03-02-01-01-01,actor-01,01-01-03-02-01-01-01,data\ravdess\Actor_01\01-01-03-02-01-01-01.mp4,happy,RAVDESS acted emotion,validation,male
01-01-03-02-01-02-01,actor-01,01-01-03-02-01-02-01,data\ravdess\Actor_01\01-01-03-02-01-02-01.mp4,happy,RAVDESS acted emotion,validation,male
01-01-03-02-02-01-01,actor-01,01-01-03-02-02-01-01,data\ravdess\Actor_01\01-01-03-02-02-01-01.mp4,happy,RAVDESS acted emotion,validation,male
01-01-03-02-02-02-01,actor-01,01-01-03-02-02-02-01,data\ravdess\Actor_01\01-01-03-02-02-02-01.mp4,happy,RAVDESS acted emotion,validation,male
01-01-04-01-01-01-01,actor-01,01-01-04-01-01-01-01,data\ravdess\Actor_01\01-01-04-01-01-01-01.mp4,sad,RAVDESS acted emotion,validation,male
01-01-04-01-01-02-01,actor-01,01-01-04-01-01-02-01,data\ravdess\Actor_01\01-01-04-01-01-02-01.mp4,sad,RAVDESS acted emotion,validation,male
01-01-04-01-02-01-01,actor-01,01-01-04-01-02-01-01,data\ravdess\Actor_01\01-01-04-01-02-01-01.mp4,sad,RAVDESS acted emotion,validation,male
01-01-04-01-02-02-01,actor-01,01-01-04-01-02-02-01,data\ravdess\Actor_01\01-01-04-01-02-02-01.mp4,sad,RAVDESS acted emotion,validation,male
01-01-04-02-01-01-01,actor-01,01-01-04-02-01-01-01,data\ravdess\Actor_01\01-01-04-02-01-01-01.mp4,sad,RAVDESS acted emotion,validation,male
01-01-04-02-01-02-01,actor-01,01-01-04-02-01-02-01,data\ravdess\Actor_01\01-01-04-02-01-02-01.mp4,sad,RAVDESS acted emotion,validation,male
01-01-04-02-02-01-01,actor-01,01-01-04-02-02-01-01,data\ravdess\Actor_01\01-01-04-02-02-01-01.mp4,sad,RAVDESS acted emotion,validation,male
01-01-04-02-02-02-01,actor-01,01-01-04-02-02-02-01,data\ravdess\Actor_01\01-01-04-02-02-02-01.mp4,sad,RAVDESS acted emotion,validation,male
01-01-05-01-01-01-01,actor-01,01-01-05-01-01-01-01,data\ravdess\Actor_01\01-01-05-01-01-01-01.mp4,angry,RAVDESS acted emotion,validation,male
01-01-05-01-01-02-01,actor-01,01-01-05-01-01-02-01,data\ravdess\Actor_01\01-01-05-01-01-02-01.mp4,angry,RAVDESS acted emotion,validation,male
01-01-05-01-02-01-01,actor-01,01-01-05-01-02-01-01,data\ravdess\Actor_01\01-01-05-01-02-01-01.mp4,angry,RAVDESS acted emotion,validation,male
01-01-05-01-02-02-01,actor-01,01-01-05-01-02-02-01,data\ravdess\Actor_01\01-01-05-01-02-02-01.mp4,angry,RAVDESS acted emotion,validation,male
01-01-05-02-01-01-01,actor-01,01-01-05-02-01-01-01,data\ravdess\Actor_01\01-01-05-02-01-01-01.mp4,angry,RAVDESS acted emotion,validation,male
01-01-05-02-01-02-01,actor-01,01-01-05-02-01-02-01,data\ravdess\Actor_01\01-01-05-02-01-02-01.mp4,angry,RAVDESS acted emotion,validation,male
01-01-05-02-02-01-01,actor-01,01-01-05-02-02-01-01,data\ravdess\Actor_01\01-01-05-02-02-01-01.mp4,angry,RAVDESS acted emotion,validation,male
01-01-05-02-02-02-01,actor-01,01-01-05-02-02-02-01,data\ravdess\Actor_01\01-01-05-02-02-02-01.mp4,angry,RAVDESS acted emotion,validation,male
01-01-06-01-01-01-01,actor-01,01-01-06-01-01-01-01,data\ravdess\Actor_01\01-01-06-01-01-01-01.mp4,fearful,RAVDESS acted emotion,validation,male
01-01-06-01-01-02-01,actor-01,01-01-06-01-01-02-01,data\ravdess\Actor_01\01-01-06-01-01-02-01.mp4,fearful,RAVDESS acted emotion,validation,male
01-01-06-01-02-01-01,actor-01,01-01-06-01-02-01-01,data\ravdess\Actor_01\01-01-06-01-02-01-01.mp4,fearful,RAVDESS acted emotion,validation,male
01-01-06-01-02-02-01,actor-01,01-01-06-01-02-02-01,data\ravdess\Actor_01\01-01-06-01-02-02-01.mp4,fearful,RAVDESS acted emotion,validation,male
01-01-06-02-01-01-01,actor-01,01-01-06-02-01-01-01,data\ravdess\Actor_01\01-01-06-02-01-01-01.mp4,fearful,RAVDESS acted emotion,validation,male
01-01-06-02-01-02-01,actor-01,01-01-06-02-01-02-01,data\ravdess\Actor_01\01-01-06-02-01-02-01.mp4,fearful,RAVDESS acted emotion,validation,male
01-01-06-02-02-01-01,actor-01,01-01-06-02-02-01-01,data\ravdess\Actor_01\01-01-06-02-02-01-01.mp4,fearful,RAVDESS acted emotion,validation,male
01-01-06-02-02-02-01,actor-01,01-01-06-02-02-02-01,data\ravdess\Actor_01\01-01-06-02-02-02-01.mp4,fearful,RAVDESS acted emotion,validation,male
01-01-07-01-01-01-01,actor-01,01-01-07-01-01-01-01,data\ravdess\Actor_01\01-01-07-01-01-01-01.mp4,disgust,RAVDESS acted emotion,validation,male
01-01-07-01-01-02-01,actor-01,01-01-07-01-01-02-01,data\ravdess\Actor_01\01-01-07-01-01-02-01.mp4,disgust,RAVDESS acted emotion,validation,male
01-01-07-01-02-01-01,actor-01,01-01-07-01-02-01-01,data\ravdess\Actor_01\01-01-07-01-02-01-01.mp4,disgust,RAVDESS acted emotion,validation,male
01-01-07-01-02-02-01,actor-01,01-01-07-01-02-02-01,data\ravdess\Actor_01\01-01-07-01-02-02-01.mp4,disgust,RAVDESS acted emotion,validation,male
01-01-07-02-01-01-01,actor-01,01-01-07-02-01-01-01,data\ravdess\Actor_01\01-01-07-02-01-01-01.mp4,disgust,RAVDESS acted emotion,validation,male
01-01-07-02-01-02-01,actor-01,01-01-07-02-01-02-01,data\ravdess\Actor_01\01-01-07-02-01-02-01.mp4,disgust,RAVDESS acted emotion,validation,male
01-01-07-02-02-01-01,actor-01,01-01-07-02-02-01-01,data\ravdess\Actor_01\01-01-07-02-02-01-01.mp4,disgust,RAVDESS acted emotion,validation,male
01-01-07-02-02-02-01,actor-01,01-01-07-02-02-02-01,data\ravdess\Actor_01\01-01-07-02-02-02-01.mp4,disgust,RAVDESS acted emotion,validation,male
01-01-08-01-01-01-01,actor-01,01-01-08-01-01-01-01,data\ravdess\Actor_01\01-01-08-01-01-01-01.mp4,surprised,RAVDESS acted emotion,validation,male
01-01-08-01-01-02-01,actor-01,01-01-08-01-01-02-01,data\ravdess\Actor_01\01-01-08-01-01-02-01.mp4,surprised,RAVDESS acted emotion,validation,male
01-01-08-01-02-01-01,actor-01,01-01-08-01-02-01-01,data\ravdess\Actor_01\01-01-08-01-02-01-01.mp4,surprised,RAVDESS acted emotion,validation,male
01-01-08-01-02-02-01,actor-01,01-01-08-01-02-02-01,data\ravdess\Actor_01\01-01-08-01-02-02-01.mp4,surprised,RAVDESS acted emotion,validation,male
01-01-08-02-01-01-01,actor-01,01-01-08-02-01-01-01,data\ravdess\Actor_01\01-01-08-02-01-01-01.mp4,surprised,RAVDESS acted emotion,validation,male
01-01-08-02-01-02-01,actor-01,01-01-08-02-01-02-01,data\ravdess\Actor_01\01-01-08-02-01-02-01.mp4,surprised,RAVDESS acted emotion,validation,male
01-01-08-02-02-01-01,actor-01,01-01-08-02-02-01-01,data\ravdess\Actor_01\01-01-08-02-02-01-01.mp4,surprised,RAVDESS acted emotion,validation,male
01-01-08-02-02-02-01,actor-01,01-01-08-02-02-02-01,data\ravdess\Actor_01\01-01-08-02-02-02-01.mp4,surprised,RAVDESS acted emotion,validation,male
01-01-01-01-01-01-02,actor-02,01-01-01-01-01-01-02,data\ravdess\Actor_02\01-01-01-01-01-01-02.mp4,neutral,RAVDESS acted emotion,test,female
01-01-01-01-01-02-02,actor-02,01-01-01-01-01-02-02,data\ravdess\Actor_02\01-01-01-01-01-02-02.mp4,neutral,RAVDESS acted emotion,test,female
01-01-01-01-02-01-02,actor-02,01-01-01-01-02-01-02,data\ravdess\Actor_02\01-01-01-01-02-01-02.mp4,neutral,RAVDESS acted emotion,test,female
01-01-01-01-02-02-02,actor-02,01-01-01-01-02-02-02,data\ravdess\Actor_02\01-01-01-01-02-02-02.mp4,neutral,RAVDESS acted emotion,test,female
01-01-02-01-01-01-02,actor-02,01-01-02-01-01-01-02,data\ravdess\Actor_02\01-01-02-01-01-01-02.mp4,calm,RAVDESS acted emotion,test,female
01-01-02-01-01-02-02,actor-02,01-01-02-01-01-02-02,data\ravdess\Actor_02\01-01-02-01-01-02-02.mp4,calm,RAVDESS acted emotion,test,female
01-01-02-01-02-01-02,actor-02,01-01-02-01-02-01-02,data\ravdess\Actor_02\01-01-02-01-02-01-02.mp4,calm,RAVDESS acted emotion,test,female
01-01-02-01-02-02-02,actor-02,01-01-02-01-02-02-02,data\ravdess\Actor_02\01-01-02-01-02-02-02.mp4,calm,RAVDESS acted emotion,test,female
01-01-02-02-01-01-02,actor-02,01-01-02-02-01-01-02,data\ravdess\Actor_02\01-01-02-02-01-01-02.mp4,calm,RAVDESS acted emotion,test,female
01-01-02-02-01-02-02,actor-02,01-01-02-02-01-02-02,data\ravdess\Actor_02\01-01-02-02-01-02-02.mp4,calm,RAVDESS acted emotion,test,female
01-01-02-02-02-01-02,actor-02,01-01-02-02-02-01-02,data\ravdess\Actor_02\01-01-02-02-02-01-02.mp4,calm,RAVDESS acted emotion,test,female
01-01-02-02-02-02-02,actor-02,01-01-02-02-02-02-02,data\ravdess\Actor_02\01-01-02-02-02-02-02.mp4,calm,RAVDESS acted emotion,test,female
01-01-03-01-01-01-02,actor-02,01-01-03-01-01-01-02,data\ravdess\Actor_02\01-01-03-01-01-01-02.mp4,happy,RAVDESS acted emotion,test,female
01-01-03-01-01-02-02,actor-02,01-01-03-01-01-02-02,data\ravdess\Actor_02\01-01-03-01-01-02-02.mp4,happy,RAVDESS acted emotion,test,female
01-01-03-01-02-01-02,actor-02,01-01-03-01-02-01-02,data\ravdess\Actor_02\01-01-03-01-02-01-02.mp4,happy,RAVDESS acted emotion,test,female
01-01-03-01-02-02-02,actor-02,01-01-03-01-02-02-02,data\ravdess\Actor_02\01-01-03-01-02-02-02.mp4,happy,RAVDESS acted emotion,test,female
01-01-03-02-01-01-02,actor-02,01-01-03-02-01-01-02,data\ravdess\Actor_02\01-01-03-02-01-01-02.mp4,happy,RAVDESS acted emotion,test,female
01-01-03-02-01-02-02,actor-02,01-01-03-02-01-02-02,data\ravdess\Actor_02\01-01-03-02-01-02-02.mp4,happy,RAVDESS acted emotion,test,female
01-01-03-02-02-01-02,actor-02,01-01-03-02-02-01-02,data\ravdess\Actor_02\01-01-03-02-02-01-02.mp4,happy,RAVDESS acted emotion,test,female
01-01-03-02-02-02-02,actor-02,01-01-03-02-02-02-02,data\ravdess\Actor_02\01-01-03-02-02-02-02.mp4,happy,RAVDESS acted emotion,test,female
01-01-04-01-01-01-02,actor-02,01-01-04-01-01-01-02,data\ravdess\Actor_02\01-01-04-01-01-01-02.mp4,sad,RAVDESS acted emotion,test,female
01-01-04-01-01-02-02,actor-02,01-01-04-01-01-02-02,data\ravdess\Actor_02\01-01-04-01-01-02-02.mp4,sad,RAVDESS acted emotion,test,female
01-01-04-01-02-01-02,actor-02,01-01-04-01-02-01-02,data\ravdess\Actor_02\01-01-04-01-02-01-02.mp4,sad,RAVDESS acted emotion,test,female
01-01-04-01-02-02-02,actor-02,01-01-04-01-02-02-02,data\ravdess\Actor_02\01-01-04-01-02-02-02.mp4,sad,RAVDESS acted emotion,test,female
01-01-04-02-01-01-02,actor-02,01-01-04-02-01-01-02,data\ravdess\Actor_02\01-01-04-02-01-01-02.mp4,sad,RAVDESS acted emotion,test,female
01-01-04-02-01-02-02,actor-02,01-01-04-02-01-02-02,data\ravdess\Actor_02\01-01-04-02-01-02-02.mp4,sad,RAVDESS acted emotion,test,female
01-01-04-02-02-01-02,actor-02,01-01-04-02-02-01-02,data\ravdess\Actor_02\01-01-04-02-02-01-02.mp4,sad,RAVDESS acted emotion,test,female
01-01-04-02-02-02-02,actor-02,01-01-04-02-02-02-02,data\ravdess\Actor_02\01-01-04-02-02-02-02.mp4,sad,RAVDESS acted emotion,test,female
01-01-05-01-01-01-02,actor-02,01-01-05-01-01-01-02,data\ravdess\Actor_02\01-01-05-01-01-01-02.mp4,angry,RAVDESS acted emotion,test,female
01-01-05-01-01-02-02,actor-02,01-01-05-01-01-02-02,data\ravdess\Actor_02\01-01-05-01-01-02-02.mp4,angry,RAVDESS acted emotion,test,female
01-01-05-01-02-01-02,actor-02,01-01-05-01-02-01-02,data\ravdess\Actor_02\01-01-05-01-02-01-02.mp4,angry,RAVDESS acted emotion,test,female
01-01-05-01-02-02-02,actor-02,01-01-05-01-02-02-02,data\ravdess\Actor_02\01-01-05-01-02-02-02.mp4,angry,RAVDESS acted emotion,test,female
01-01-05-02-01-01-02,actor-02,01-01-05-02-01-01-02,data\ravdess\Actor_02\01-01-05-02-01-01-02.mp4,angry,RAVDESS acted emotion,test,female
01-01-05-02-01-02-02,actor-02,01-01-05-02-01-02-02,data\ravdess\Actor_02\01-01-05-02-01-02-02.mp4,angry,RAVDESS acted emotion,test,female
01-01-05-02-02-01-02,actor-02,01-01-05-02-02-01-02,data\ravdess\Actor_02\01-01-05-02-02-01-02.mp4,angry,RAVDESS acted emotion,test,female
01-01-05-02-02-02-02,actor-02,01-01-05-02-02-02-02,data\ravdess\Actor_02\01-01-05-02-02-02-02.mp4,angry,RAVDESS acted emotion,test,female
01-01-06-01-01-01-02,actor-02,01-01-06-01-01-01-02,data\ravdess\Actor_02\01-01-06-01-01-01-02.mp4,fearful,RAVDESS acted emotion,test,female
01-01-06-01-01-02-02,actor-02,01-01-06-01-01-02-02,data\ravdess\Actor_02\01-01-06-01-01-02-02.mp4,fearful,RAVDESS acted emotion,test,female
01-01-06-01-02-01-02,actor-02,01-01-06-01-02-01-02,data\ravdess\Actor_02\01-01-06-01-02-01-02.mp4,fearful,RAVDESS acted emotion,test,female
01-01-06-01-02-02-02,actor-02,01-01-06-01-02-02-02,data\ravdess\Actor_02\01-01-06-01-02-02-02.mp4,fearful,RAVDESS acted emotion,test,female
01-01-06-02-01-01-02,actor-02,01-01-06-02-01-01-02,data\ravdess\Actor_02\01-01-06-02-01-01-02.mp4,fearful,RAVDESS acted emotion,test,female
01-01-06-02-01-02-02,actor-02,01-01-06-02-01-02-02,data\ravdess\Actor_02\01-01-06-02-01-02-02.mp4,fearful,RAVDESS acted emotion,test,female
01-01-06-02-02-01-02,actor-02,01-01-06-02-02-01-02,data\ravdess\Actor_02\01-01-06-02-02-01-02.mp4,fearful,RAVDESS acted emotion,test,female
01-01-06-02-02-02-02,actor-02,01-01-06-02-02-02-02,data\ravdess\Actor_02\01-01-06-02-02-02-02.mp4,fearful,RAVDESS acted emotion,test,female
01-01-07-01-01-01-02,actor-02,01-01-07-01-01-01-02,data\ravdess\Actor_02\01-01-07-01-01-01-02.mp4,disgust,RAVDESS acted emotion,test,female
01-01-07-01-01-02-02,actor-02,01-01-07-01-01-02-02,data\ravdess\Actor_02\01-01-07-01-01-02-02.mp4,disgust,RAVDESS acted emotion,test,female
01-01-07-01-02-01-02,actor-02,01-01-07-01-02-01-02,data\ravdess\Actor_02\01-01-07-01-02-01-02.mp4,disgust,RAVDESS acted emotion,test,female
01-01-07-01-02-02-02,actor-02,01-01-07-01-02-02-02,data\ravdess\Actor_02\01-01-07-01-02-02-02.mp4,disgust,RAVDESS acted emotion,test,female
01-01-07-02-01-01-02,actor-02,01-01-07-02-01-01-02,data\ravdess\Actor_02\01-01-07-02-01-01-02.mp4,disgust,RAVDESS acted emotion,test,female
01-01-07-02-01-02-02,actor-02,01-01-07-02-01-02-02,data\ravdess\Actor_02\01-01-07-02-01-02-02.mp4,disgust,RAVDESS acted emotion,test,female
01-01-07-02-02-01-02,actor-02,01-01-07-02-02-01-02,data\ravdess\Actor_02\01-01-07-02-02-01-02.mp4,disgust,RAVDESS acted emotion,test,female
01-01-07-02-02-02-02,actor-02,01-01-07-02-02-02-02,data\ravdess\Actor_02\01-01-07-02-02-02-02.mp4,disgust,RAVDESS acted emotion,test,female
01-01-08-01-01-01-02,actor-02,01-01-08-01-01-01-02,data\ravdess\Actor_02\01-01-08-01-01-01-02.mp4,surprised,RAVDESS acted emotion,test,female
01-01-08-01-01-02-02,actor-02,01-01-08-01-01-02-02,data\ravdess\Actor_02\01-01-08-01-01-02-02.mp4,surprised,RAVDESS acted emotion,test,female
01-01-08-01-02-01-02,actor-02,01-01-08-01-02-01-02,data\ravdess\Actor_02\01-01-08-01-02-01-02.mp4,surprised,RAVDESS acted emotion,test,female
01-01-08-01-02-02-02,actor-02,01-01-08-01-02-02-02,data\ravdess\Actor_02\01-01-08-01-02-02-02.mp4,surprised,RAVDESS acted emotion,test,female
01-01-08-02-01-01-02,actor-02,01-01-08-02-01-01-02,data\ravdess\Actor_02\01-01-08-02-01-01-02.mp4,surprised,RAVDESS acted emotion,test,female
01-01-08-02-01-02-02,actor-02,01-01-08-02-01-02-02,data\ravdess\Actor_02\01-01-08-02-01-02-02.mp4,surprised,RAVDESS acted emotion,test,female
01-01-08-02-02-01-02,actor-02,01-01-08-02-02-01-02,data\ravdess\Actor_02\01-01-08-02-02-01-02.mp4,surprised,RAVDESS acted emotion,test,female
01-01-08-02-02-02-02,actor-02,01-01-08-02-02-02-02,data\ravdess\Actor_02\01-01-08-02-02-02-02.mp4,surprised,RAVDESS acted emotion,test,female
01-01-01-01-01-01-03,actor-03,01-01-01-01-01-01-03,data\ravdess\Actor_03\01-01-01-01-01-01-03.mp4,neutral,RAVDESS acted emotion,test,male
01-01-01-01-01-02-03,actor-03,01-01-01-01-01-02-03,data\ravdess\Actor_03\01-01-01-01-01-02-03.mp4,neutral,RAVDESS acted emotion,test,male
01-01-01-01-02-01-03,actor-03,01-01-01-01-02-01-03,data\ravdess\Actor_03\01-01-01-01-02-01-03.mp4,neutral,RAVDESS acted emotion,test,male
01-01-01-01-02-02-03,actor-03,01-01-01-01-02-02-03,data\ravdess\Actor_03\01-01-01-01-02-02-03.mp4,neutral,RAVDESS acted emotion,test,male
01-01-02-01-01-01-03,actor-03,01-01-02-01-01-01-03,data\ravdess\Actor_03\01-01-02-01-01-01-03.mp4,calm,RAVDESS acted emotion,test,male
01-01-02-01-01-02-03,actor-03,01-01-02-01-01-02-03,data\ravdess\Actor_03\01-01-02-01-01-02-03.mp4,calm,RAVDESS acted emotion,test,male
01-01-02-01-02-01-03,actor-03,01-01-02-01-02-01-03,data\ravdess\Actor_03\01-01-02-01-02-01-03.mp4,calm,RAVDESS acted emotion,test,male
01-01-02-01-02-02-03,actor-03,01-01-02-01-02-02-03,data\ravdess\Actor_03\01-01-02-01-02-02-03.mp4,calm,RAVDESS acted emotion,test,male
01-01-02-02-01-01-03,actor-03,01-01-02-02-01-01-03,data\ravdess\Actor_03\01-01-02-02-01-01-03.mp4,calm,RAVDESS acted emotion,test,male
01-01-02-02-01-02-03,actor-03,01-01-02-02-01-02-03,data\ravdess\Actor_03\01-01-02-02-01-02-03.mp4,calm,RAVDESS acted emotion,test,male
01-01-02-02-02-01-03,actor-03,01-01-02-02-02-01-03,data\ravdess\Actor_03\01-01-02-02-02-01-03.mp4,calm,RAVDESS acted emotion,test,male
01-01-02-02-02-02-03,actor-03,01-01-02-02-02-02-03,data\ravdess\Actor_03\01-01-02-02-02-02-03.mp4,calm,RAVDESS acted emotion,test,male
01-01-03-01-01-01-03,actor-03,01-01-03-01-01-01-03,data\ravdess\Actor_03\01-01-03-01-01-01-03.mp4,happy,RAVDESS acted emotion,test,male
01-01-03-01-01-02-03,actor-03,01-01-03-01-01-02-03,data\ravdess\Actor_03\01-01-03-01-01-02-03.mp4,happy,RAVDESS acted emotion,test,male
01-01-03-01-02-01-03,actor-03,01-01-03-01-02-01-03,data\ravdess\Actor_03\01-01-03-01-02-01-03.mp4,happy,RAVDESS acted emotion,test,male
01-01-03-01-02-02-03,actor-03,01-01-03-01-02-02-03,data\ravdess\Actor_03\01-01-03-01-02-02-03.mp4,happy,RAVDESS acted emotion,test,male
01-01-03-02-01-01-03,actor-03,01-01-03-02-01-01-03,data\ravdess\Actor_03\01-01-03-02-01-01-03.mp4,happy,RAVDESS acted emotion,test,male
01-01-03-02-01-02-03,actor-03,01-01-03-02-01-02-03,data\ravdess\Actor_03\01-01-03-02-01-02-03.mp4,happy,RAVDESS acted emotion,test,male
01-01-03-02-02-01-03,actor-03,01-01-03-02-02-01-03,data\ravdess\Actor_03\01-01-03-02-02-01-03.mp4,happy,RAVDESS acted emotion,test,male
01-01-03-02-02-02-03,actor-03,01-01-03-02-02-02-03,data\ravdess\Actor_03\01-01-03-02-02-02-03.mp4,happy,RAVDESS acted emotion,test,male
01-01-04-01-01-01-03,actor-03,01-01-04-01-01-01-03,data\ravdess\Actor_03\01-01-04-01-01-01-03.mp4,sad,RAVDESS acted emotion,test,male
01-01-04-01-01-02-03,actor-03,01-01-04-01-01-02-03,data\ravdess\Actor_03\01-01-04-01-01-02-03.mp4,sad,RAVDESS acted emotion,test,male
01-01-04-01-02-01-03,actor-03,01-01-04-01-02-01-03,data\ravdess\Actor_03\01-01-04-01-02-01-03.mp4,sad,RAVDESS acted emotion,test,male
01-01-04-01-02-02-03,actor-03,01-01-04-01-02-02-03,data\ravdess\Actor_03\01-01-04-01-02-02-03.mp4,sad,RAVDESS acted emotion,test,male
01-01-04-02-01-01-03,actor-03,01-01-04-02-01-01-03,data\ravdess\Actor_03\01-01-04-02-01-01-03.mp4,sad,RAVDESS acted emotion,test,male
01-01-04-02-01-02-03,actor-03,01-01-04-02-01-02-03,data\ravdess\Actor_03\01-01-04-02-01-02-03.mp4,sad,RAVDESS acted emotion,test,male
01-01-04-02-02-01-03,actor-03,01-01-04-02-02-01-03,data\ravdess\Actor_03\01-01-04-02-02-01-03.mp4,sad,RAVDESS acted emotion,test,male
01-01-04-02-02-02-03,actor-03,01-01-04-02-02-02-03,data\ravdess\Actor_03\01-01-04-02-02-02-03.mp4,sad,RAVDESS acted emotion,test,male
01-01-05-01-01-01-03,actor-03,01-01-05-01-01-01-03,data\ravdess\Actor_03\01-01-05-01-01-01-03.mp4,angry,RAVDESS acted emotion,test,male
01-01-05-01-01-02-03,actor-03,01-01-05-01-01-02-03,data\ravdess\Actor_03\01-01-05-01-01-02-03.mp4,angry,RAVDESS acted emotion,test,male
01-01-05-01-02-01-03,actor-03,01-01-05-01-02-01-03,data\ravdess\Actor_03\01-01-05-01-02-01-03.mp4,angry,RAVDESS acted emotion,test,male
01-01-05-01-02-02-03,actor-03,01-01-05-01-02-02-03,data\ravdess\Actor_03\01-01-05-01-02-02-03.mp4,angry,RAVDESS acted emotion,test,male
01-01-05-02-01-01-03,actor-03,01-01-05-02-01-01-03,data\ravdess\Actor_03\01-01-05-02-01-01-03.mp4,angry,RAVDESS acted emotion,test,male
01-01-05-02-01-02-03,actor-03,01-01-05-02-01-02-03,data\ravdess\Actor_03\01-01-05-02-01-02-03.mp4,angry,RAVDESS acted emotion,test,male
01-01-05-02-02-01-03,actor-03,01-01-05-02-02-01-03,data\ravdess\Actor_03\01-01-05-02-02-01-03.mp4,angry,RAVDESS acted emotion,test,male
01-01-05-02-02-02-03,actor-03,01-01-05-02-02-02-03,data\ravdess\Actor_03\01-01-05-02-02-02-03.mp4,angry,RAVDESS acted emotion,test,male
01-01-06-01-01-01-03,actor-03,01-01-06-01-01-01-03,data\ravdess\Actor_03\01-01-06-01-01-01-03.mp4,fearful,RAVDESS acted emotion,test,male
01-01-06-01-01-02-03,actor-03,01-01-06-01-01-02-03,data\ravdess\Actor_03\01-01-06-01-01-02-03.mp4,fearful,RAVDESS acted emotion,test,male
01-01-06-01-02-01-03,actor-03,01-01-06-01-02-01-03,data\ravdess\Actor_03\01-01-06-01-02-01-03.mp4,fearful,RAVDESS acted emotion,test,male
01-01-06-01-02-02-03,actor-03,01-01-06-01-02-02-03,data\ravdess\Actor_03\01-01-06-01-02-02-03.mp4,fearful,RAVDESS acted emotion,test,male
01-01-06-02-01-01-03,actor-03,01-01-06-02-01-01-03,data\ravdess\Actor_03\01-01-06-02-01-01-03.mp4,fearful,RAVDESS acted emotion,test,male
01-01-06-02-01-02-03,actor-03,01-01-06-02-01-02-03,data\ravdess\Actor_03\01-01-06-02-01-02-03.mp4,fearful,RAVDESS acted emotion,test,male
01-01-06-02-02-01-03,actor-03,01-01-06-02-02-01-03,data\ravdess\Actor_03\01-01-06-02-02-01-03.mp4,fearful,RAVDESS acted emotion,test,male
01-01-06-02-02-02-03,actor-03,01-01-06-02-02-02-03,data\ravdess\Actor_03\01-01-06-02-02-02-03.mp4,fearful,RAVDESS acted emotion,test,male
01-01-07-01-01-01-03,actor-03,01-01-07-01-01-01-03,data\ravdess\Actor_03\01-01-07-01-01-01-03.mp4,disgust,RAVDESS acted emotion,test,male
01-01-07-01-01-02-03,actor-03,01-01-07-01-01-02-03,data\ravdess\Actor_03\01-01-07-01-01-02-03.mp4,disgust,RAVDESS acted emotion,test,male
